ISIN;Total Gains;Total Losses;Number of cases;Number of operations;Gain/Loss;Monetary sum
CH0012032048;10000;65000;75000;7;0;-4599825.40
CH0012684657;0;70080;70080;7;0;-3332528.12
CH0030170408;12000;3000;15000;2;1;-52297.69
CH0038863350;30000;150000;180000;5;0;-868079.78
DE0005190003;0;210000;210000;2;0;-711492.72
DE0006048408;0;120000;120000;9;0;-2192407.78
DE0006062144;0;130000;130000;4;0;-2407901.38
DE0007164600;170000;0;170000;8;1;2046897.19
ES0109067019;90000;100000;190000;7;0;-4508589.97
ES0113679I37;0;600000;600000;3;0;-1011155.00
ES0148396007;430000;20000;450000;10;1;903571.35
FI0009005987;350000;0;350000;6;1;1937265.20
FI0009013403;165000;0;165000;7;1;827141.14
FR0000038259;11500;3500;15000;6;1;151149.40
FR0000051732;4013;20000;24013;2;0;-574500.00
FR0000120073;150000;0;150000;5;1;5329490.24
FR0000120271;22659;250000;272659;7;0;-247176.82
FR0000120503;0;250000;250000;2;0;-1522295.00
FR0000120578;130000;0;130000;6;1;1202088.00
FR0000120644;110000;0;110000;2;1;467685.00
FR0000120693;10000;70000;80000;5;0;101232.71
FR0000121014;50000;0;50000;6;1;8803159.40
FR0000121220;100000;0;100000;2;1;728926.57
FR0000121261;80000;10000;90000;6;1;298088.13
FR0000121972;170000;0;170000;3;1;2436502.14
FR0000124570;0;160000;160000;4;0;-1808399.94
FR0000125486;130000;0;130000;3;1;5097825.75
FR0000130452;80000;0;80000;3;1;750446.00
FR0000131104;200000;0;200000;2;1;866738.83
FR0011476928;0;100000;100000;16;0;-901824.24
FR0013176526;0;225000;225000;9;0;-1943770.53
FR0013269123;142802;0;142802;8;1;5497600.68
FR0013280286;105000;0;105000;10;1;4096864.03
FR0013333432;30000;0;30000;7;1;1290237.71
GB0001826634;175100;0;175100;12;1;849591.64
GB0002162385;1000000;500000;1500000;4;1;674361.98
GB0002374006;400000;0;400000;6;1;2631440.50
GB0004052071;230000;0;230000;7;1;2261183.99
GB0007188757;290000;0;290000;4;1;1089998.97
GB0007980591;660000;0;660000;2;1;147941.20
GB0009895292;30000;100000;130000;7;0;-5564008.64
GB00B02L3W35;140000;150000;290000;20;0;15069.63
GB00B0744B38;240000;597989;837989;21;0;609178.50
GB00B24CGK77;30000;595978;625978;3;0;64792.52
GB00B8C3BL03;600000;600000;1200000;8;0;-1964389.40
GB00BD6K4575;600000;0;600000;6;1;2948854.74
IE0005711209;400000;70000;470000;10;1;-748108.77
IE00BTN1Y115;20000;100000;120000;4;0;-578730.02
IT0001049623;87181;2819;90000;10;1;326905.33
IT0003428445;114683;5317;120000;12;1;100546.14
NL0011821202;40000;400000;440000;2;0;-683630.94
SE0011166610;40000;350000;390000;10;0;-1129142706.00
US50540R4092;40000;20000;60000;2;1;-1023921.65
AN8068571086;40000;100000;140000;2;0;-4353685.54
GB00BVFNZH21;540000;0;540000;5;1;144140.00
GB0006043169;40000;1500000;1540000;5;0;-610750.00
GB0004082847;740000;0;740000;6;1;324100.00
DE0005785802;80000;20000;100000;6;1;-63200.00
FR0010340141;60000;0;60000;10;1;887354.60
FR0010908533;100000;20000;120000;3;1;999900.00
GB0004161021;1200000;400000;1600000;11;1;42278.81
GB00B19NLV48;200000;0;200000;4;1;1571616.80
DE0007472060;155000;0;155000;3;1;531000.00
NL0000235190;80000;0;80000;5;1;723400.00
GB00BJFFLV09;179437;0;179437;7;1;2284722.59
NL0000009538;150000;0;150000;2;1;491750.00
IT0004053440;150000;30000;180000;2;1;-128100.00
FR0010307819;150000;0;150000;6;1;682600.00
FR0000130809;350000;0;350000;4;1;644500.00
FR0006174348;170000;30000;200000;6;1;226200.00
FR0000124141;300000;100000;400000;4;1;128000.00
US02079K1079;0;4000;4000;1;0;-105820.68
GB00B0N8QD54;50000;0;50000;2;1;30119.50
GB0031638363;72000;0;72000;5;1;1025654.40
SE0009922164;0;300000;300000;6;0;-79868020.40
NL0000009827;0;40000;40000;3;0;-21855.55
CH0010645932;0;1500;1500;1;0;-357478.18
Total;12726375;8594183;21320558;450;48;-1186606538.83
