ISIN;Ticker Bloomberg
CH0012032048;ROG SW EQUITY
CH0012684657;BOBNN SW EQUITY
CH0030170408;GEBN SW EQUITY
CH0038863350;NESN SW EQUITY
DE0005190003;BMW GR EQUITY
DE0006048408;HEN GR EQUITY
DE0006062144;1COV GY EQUITY
DE0007164600;SAP GY EQUITY
ES0109067019;AMS SM EQUITY
ES0113679I37;BKT SM EQUITY
ES0148396007;ITX SM EQUITY
FI0009005987;UPM FH EQUITY
FI0009013403;KNEBV FH EQUITY
FR0000038259;ERF FP EQUITY
FR0000051732;ATO FP EQUITY
FR0000120073;AI FP EQUITY
FR0000120271;FP FP EQUITY
FR0000120503;EN FP EQUITY
FR0000120578;SAN FP EQUITY
FR0000120644;BN FP EQUITY
FR0000120693;RI FP EQUITY
FR0000121014;MC FP EQUITY
FR0000121220;SW FP EQUITY
FR0000121261;ML FP EQUITY
FR0000121972;SU FP EQUITY
FR0000124570;POM FP EQUITY
FR0000125486;DG FP EQUITY
FR0000130452;FGR FP EQUITY
FR0000131104;BNP FP EQUITY
FR0011476928;FNAC FP EQUITY
FR0013176526;FR FP EQUITY
FR0013269123;RUI FP EQUITY
FR0013280286;BIM FP EQUITY
FR0013333432;THEP FP Equity
GB0001826634;DPLM LN EQUITY
GB0002162385;AV/ LN EQUITY
GB0002374006;DGE LN EQUITY
GB0004052071;HLMA LN EQUITY
GB0007188757;RIO LN EQUITY
GB0007980591;BP/ LN EQUITY
GB0009895292;AZN LN EQUITY
GB00B02L3W35;BKG LN EQUITY
GB00B0744B38;BNZL LN EQUITY
GB00B24CGK77;RB/ LN EQUITY
GB00B8C3BL03;SGE LN EQUITY
GB00BD6K4575;CPG LN EQUITY
IE0005711209;ICLR US EQUITY
IE00BTN1Y115;MDT US EQUITY
IT0001049623;IMA IM EQUITY
IT0003428445;MARR IM EQUITY
NL0011821202;INGA NA EQUITY
SE0011166610;ATCOA SS EQUITY
US50540R4092;LH US EQUITY
AN8068571086;SLB US EQUITY
GB00BVFNZH21;ROR LN EQUITY
GB0006043169;MRW LN EQUITY
GB0004082847;STAN LN EQUITY
DE0005785802;FME GY EQUITY
FR0010340141;ADP FP EQUITY
FR0010908533;EDEN FP EQUITY
GB0004161021;HAS LN EQUITY
GB00B19NLV48;EXPN LN EQUITY
DE0007472060;WDI GY EQUITY
NL0000235190;AIR FP EQUITY
GB00BJFFLV09;CRDA LN Equity
NL0000009538;PHIA NA EQUITY
IT0004053440;DAL IM EQUITY
FR0010307819;LR FP EQUITY
FR0000130809;GLE FP EQUITY
FR0006174348;BVI FP EQUITY
FR0000124141;VIE FP EQUITY
US02079K1079;GOOG US EQUITY
GB00B0N8QD54;BVIC LN Equity
GB0031638363;ITRK LN EQUITY
SE0009922164;ESSITYB SS EQUITY
NL0000009827;DSM NA EQUITY
CH0010645932;GIVN SW EQUITY
